source,target,weight,shared_repositories
dependabot[bot],pre-commit-ci[bot],2,fastapi/fastapi; pallets/flask
AlertRED,Alexandrhub,1,fastapi/fastapi
AlertRED,Joao-Pedro-P-Holanda,1,fastapi/fastapi
AlertRED,KaniKim,1,fastapi/fastapi
AlertRED,Kludex,1,fastapi/fastapi
AlertRED,Serrones,1,fastapi/fastapi
AlertRED,Smlep,1,fastapi/fastapi
AlertRED,SwftAlpc,1,fastapi/fastapi
AlertRED,Vincy1230,1,fastapi/fastapi
AlertRED,Xewus,1,fastapi/fastapi
AlertRED,YuriiMotov,1,fastapi/fastapi
AlertRED,Zhongheng-Cheng,1,fastapi/fastapi
AlertRED,alejsdev,1,fastapi/fastapi
AlertRED,alv2017,1,fastapi/fastapi
AlertRED,barsi,1,fastapi/fastapi
AlertRED,ceb10n,1,fastapi/fastapi
AlertRED,dependabot[bot],1,fastapi/fastapi
AlertRED,dmontagu,1,fastapi/fastapi
AlertRED,estebanx64,1,fastapi/fastapi
AlertRED,euri10,1,fastapi/fastapi
AlertRED,github-actions[bot],1,fastapi/fastapi
AlertRED,handabaldeep,1,fastapi/fastapi
AlertRED,hard-coders,1,fastapi/fastapi
AlertRED,hasansezertasan,1,fastapi/fastapi
AlertRED,jaystone776,1,fastapi/fastapi
AlertRED,kantandane,1,fastapi/fastapi
AlertRED,marcelomarkus,1,fastapi/fastapi
AlertRED,mariacamilagl,1,fastapi/fastapi
AlertRED,nilslindemann,1,fastapi/fastapi
AlertRED,pablocm83,1,fastapi/fastapi
AlertRED,pre-commit-ci[bot],1,fastapi/fastapi
AlertRED,svlandeg,1,fastapi/fastapi
AlertRED,tiangolo,1,fastapi/fastapi
AlertRED,tokusumi,1,fastapi/fastapi
AlertRED,valentinDruzhinin,1,fastapi/fastapi
AlertRED,vishnuvskvkl,1,fastapi/fastapi
AlertRED,waynerv,1,fastapi/fastapi
AlertRED,xzmeng,1,fastapi/fastapi
AlertRED,yychanlee,1,fastapi/fastapi
AlertRED,zhaohan-dong,1,fastapi/fastapi
AlexanderFabisch,ArturoAmorQ,1,scikit-learn/scikit-learn
AlexanderFabisch,Charlie-XIAO,1,scikit-learn/scikit-learn
