developer,repositories,repository_count,total_contributions
dependabot[bot],fastapi/fastapi; pallets/flask,2,257
pre-commit-ci[bot],fastapi/fastapi; pallets/flask,2,89
jbrockmendel,pandas-dev/pandas,1,5414
jreback,pandas-dev/pandas,1,4731
timgraham,django/django,1,3528
wesm,pandas-dev/pandas,1,3127
adrianholovaty,django/django,1,2802
ogrisel,scikit-learn/scikit-learn,1,2574
tiangolo,fastapi/fastapi,1,2079
amueller,scikit-learn/scikit-learn,1,2073
malcolmt,django/django,1,1872
davidism,pallets/flask,1,1840
freakboy3742,django/django,1,1741
claudep,django/django,1,1722
felixxm,django/django,1,1686
jorisvandenbossche,pandas-dev/pandas,1,1619
mroeschke,pandas-dev/pandas,1,1523
aaugustin,django/django,1,1399
larsmans,scikit-learn/scikit-learn,1,1265
mitsuhiko,pallets/flask,1,1189
phofl,pandas-dev/pandas,1,1132
agramfort,scikit-learn/scikit-learn,1,1086
glouppe,scikit-learn/scikit-learn,1,936
thomasjpfan,scikit-learn/scikit-learn,1,919
jezdez,django/django,1,895
jacobian,django/django,1,893
pprett,scikit-learn/scikit-learn,1,860
mblondel,scikit-learn/scikit-learn,1,778
vene,scikit-learn/scikit-learn,1,775
jnothman,scikit-learn/scikit-learn,1,773
charettes,django/django,1,759
glemaitre,scikit-learn/scikit-learn,1,661
TomAugspurger,pandas-dev/pandas,1,655
lesteve,scikit-learn/scikit-learn,1,644
simonjayhawkins,pandas-dev/pandas,1,628
cpcloud,pandas-dev/pandas,1,607
github-actions[bot],fastapi/fastapi,1,604
arjoly,scikit-learn/scikit-learn,1,580
rhshadrach,pandas-dev/pandas,1,514
spookylukey,django/django,1,497
jeremiedbb,scikit-learn/scikit-learn,1,494
alex,django/django,1,483
tuhinsharma121,pandas-dev/pandas,1,478
ramiro,django/django,1,474
gfyoung,pandas-dev/pandas,1,460
scikit-learn-bot,scikit-learn/scikit-learn,1,455
andrewgodwin,django/django,1,450
jdufresne,django/django,1,425
topper-123,pandas-dev/pandas,1,423
sinhrks,pandas-dev/pandas,1,409
sir-sigurd,django/django,1,373
akaariai,django/django,1,351
ngnpope,django/django,1,345
jakevdp,scikit-learn/scikit-learn,1,343
MarcoGorelli,pandas-dev/pandas,1,340
WillAyd,pandas-dev/pandas,1,340
gdub,django/django,1,335
adamklein,pandas-dev/pandas,1,327
carltongibson,django/django,1,316
MechCoder,scikit-learn/scikit-learn,1,313
adamchainz,django/django,1,308
adrinjalali,scikit-learn/scikit-learn,1,300
jacobtylerwalls,django/django,1,297
apollo13,django/django,1,296
datapythonista,pandas-dev/pandas,1,275
kmtracey,django/django,1,274
untitaker,pallets/flask,1,274
jbronn,django/django,1,270
qinhanmin2014,scikit-learn/scikit-learn,1,264
ubernostrum,django/django,1,264
hramezani,django/django,1,259
NicolasHug,scikit-learn/scikit-learn,1,250
jtratner,pandas-dev/pandas,1,250
lucyleeow,scikit-learn/scikit-learn,1,248
changhiskhan,pandas-dev/pandas,1,246
lithomas1,pandas-dev/pandas,1,245
nessita,django/django,1,241
NelleV,scikit-learn/scikit-learn,1,238
lorentzenchr,scikit-learn/scikit-learn,1,236
robertlayton,scikit-learn/scikit-learn,1,233
lukemanley,pandas-dev/pandas,1,225
bmispelon,django/django,1,221
twoertwein,pandas-dev/pandas,1,221
sarahboyce,django/django,1,216
carljm,django/django,1,213
ShaharNaveh,pandas-dev/pandas,1,206
attack68,pandas-dev/pandas,1,203
smithdc1,django/django,1,202
jphalip,django/django,1,194
loic,django/django,1,180
natmokval,pandas-dev/pandas,1,173
jschendel,pandas-dev/pandas,1,163
hayd,pandas-dev/pandas,1,160
fangchenli,pandas-dev/pandas,1,156
dsaxton,pandas-dev/pandas,1,155
brosner,django/django,1,150
MarkusH,django/django,1,146
cjerdonek,django/django,1,144
raghavrv,scikit-learn/scikit-learn,1,140
mjtamlyn,django/django,1,139
ahojnnes,scikit-learn/scikit-learn,1,137
jjerphan,scikit-learn/scikit-learn,1,132
rth,scikit-learn/scikit-learn,1,132
rduplain,pallets/flask,1,122
mzeitlin11,pandas-dev/pandas,1,118
DeaMariaLeon,pandas-dev/pandas,1,114
StefanieSenger,scikit-learn/scikit-learn,1,114
TomDLT,scikit-learn/scikit-learn,1,113
Charlie-XIAO,scikit-learn/scikit-learn,1,111
orbitfold,pandas-dev/pandas,1,111
weilinear,scikit-learn/scikit-learn,1,109
betatim,scikit-learn/scikit-learn,1,108
cmarmo,scikit-learn/scikit-learn,1,105
greyli,pallets/flask,1,105
alimcmaster1,pandas-dev/pandas,1,104
clayw,scikit-learn/scikit-learn,1,103
kemaleren,scikit-learn/scikit-learn,1,100
atombrella,django/django,1,99
oddskool,scikit-learn/scikit-learn,1,95
YuriiMotov,fastapi/fastapi,1,94
SmileyChris,django/django,1,93
toobaz,pandas-dev/pandas,1,93
AlexanderFabisch,scikit-learn/scikit-learn,1,91
dependabot-preview[bot],pallets/flask,1,91
charlesdong1991,pandas-dev/pandas,1,89
jseabold,pandas-dev/pandas,1,89
ArturoAmorQ,scikit-learn/scikit-learn,1,87
alextp,scikit-learn/scikit-learn,1,87
DasIch,pallets/flask,1,86
Dr-Irv,pandas-dev/pandas,1,86
chris-b1,pandas-dev/pandas,1,86
h-vetinari,pandas-dev/pandas,1,85
alejsdev,fastapi/fastapi,1,59
kennethreitz,pallets/flask,1,59
pgjones,pallets/flask,1,50
jaystone776,fastapi/fastapi,1,49
keyan,pallets/flask,1,36
valentinDruzhinin,fastapi/fastapi,1,33
ceb10n,fastapi/fastapi,1,31
ThiefMaster,pallets/flask,1,28
defuz,pallets/flask,1,26
Kludex,fastapi/fastapi,1,25
lepture,pallets/flask,1,25
waynerv,fastapi/fastapi,1,25
svlandeg,fastapi/fastapi,1,24
tokusumi,fastapi/fastapi,1,24
SwftAlpc,fastapi/fastapi,1,23
ThomasWaldmann,pallets/flask,1,23
hasansezertasan,fastapi/fastapi,1,23
jeffwidman,pallets/flask,1,22
jab,pallets/flask,1,21
SimonSapin,pallets/flask,1,18
dmontagu,fastapi/fastapi,1,17
florentx,pallets/flask,1,17
lord63,pallets/flask,1,17
AlertRED,fastapi/fastapi,1,16
hard-coders,fastapi/fastapi,1,16
Joao-Pedro-P-Holanda,fastapi/fastapi,1,14
Zhongheng-Cheng,fastapi/fastapi,1,14
nilslindemann,fastapi/fastapi,1,14
yychanlee,fastapi/fastapi,1,14
Xewus,fastapi/fastapi,1,13
adambyrtek,pallets/flask,1,13
dag,pallets/flask,1,13
euri10,fastapi/fastapi,1,13
kantandane,fastapi/fastapi,1,13
wgwz,pallets/flask,1,13
flying-sheep,pallets/flask,1,12
s3rvac,pallets/flask,1,12
