developer,repository,contributions,github_profile_url
davidism,pallets/flask,1840,https://github.com/davidism
mitsuhiko,pallets/flask,1189,https://github.com/mitsuhiko
untitaker,pallets/flask,274,https://github.com/untitaker
rduplain,pallets/flask,122,https://github.com/rduplain
greyli,pallets/flask,105,https://github.com/greyli
dependabot-preview[bot],pallets/flask,91,https://github.com/apps/dependabot-preview
DasIch,pallets/flask,86,https://github.com/DasIch
dependabot[bot],pallets/flask,61,https://github.com/apps/dependabot
kennethreitz,pallets/flask,59,https://github.com/kennethreitz
pgjones,pallets/flask,50,https://github.com/pgjones
pre-commit-ci[bot],pallets/flask,39,https://github.com/apps/pre-commit-ci
keyan,pallets/flask,36,https://github.com/keyan
ThiefMaster,pallets/flask,28,https://github.com/ThiefMaster
defuz,pallets/flask,26,https://github.com/defuz
lepture,pallets/flask,25,https://github.com/lepture
ThomasWaldmann,pallets/flask,23,https://github.com/ThomasWaldmann
jeffwidman,pallets/flask,22,https://github.com/jeffwidman
jab,pallets/flask,21,https://github.com/jab
SimonSapin,pallets/flask,18,https://github.com/SimonSapin
florentx,pallets/flask,17,https://github.com/florentx
lord63,pallets/flask,17,https://github.com/lord63
wgwz,pallets/flask,13,https://github.com/wgwz
dag,pallets/flask,13,https://github.com/dag
adambyrtek,pallets/flask,13,https://github.com/adambyrtek
s3rvac,pallets/flask,12,https://github.com/s3rvac
flying-sheep,pallets/flask,12,https://github.com/flying-sheep
dawranliou,pallets/flask,10,https://github.com/dawranliou
plaes,pallets/flask,9,https://github.com/plaes
garenchan,pallets/flask,9,https://github.com/garenchan
vtbassmatt,pallets/flask,8,https://github.com/vtbassmatt
methane,pallets/flask,8,https://github.com/methane
tullyrankin,pallets/flask,7,https://github.com/tullyrankin
miguelgrinberg,pallets/flask,7,https://github.com/miguelgrinberg
yuxiaoy1,pallets/flask,7,https://github.com/yuxiaoy1
cvrebert,pallets/flask,6,https://github.com/cvrebert
Winnetou,pallets/flask,6,https://github.com/Winnetou
aqt01,pallets/flask,6,https://github.com/aqt01
akavlie,pallets/flask,6,https://github.com/akavlie
alexpantyukhin,pallets/flask,6,https://github.com/alexpantyukhin
antsar,pallets/flask,6,https://github.com/antsar
timgraham,django/django,3528,https://github.com/timgraham
adrianholovaty,django/django,2802,https://github.com/adrianholovaty
malcolmt,django/django,1872,https://github.com/malcolmt
freakboy3742,django/django,1741,https://github.com/freakboy3742
claudep,django/django,1722,https://github.com/claudep
felixxm,django/django,1686,https://github.com/felixxm
aaugustin,django/django,1399,https://github.com/aaugustin
jezdez,django/django,895,https://github.com/jezdez
jacobian,django/django,893,https://github.com/jacobian
charettes,django/django,759,https://github.com/charettes
spookylukey,django/django,497,https://github.com/spookylukey
alex,django/django,483,https://github.com/alex
ramiro,django/django,474,https://github.com/ramiro
andrewgodwin,django/django,450,https://github.com/andrewgodwin
jdufresne,django/django,425,https://github.com/jdufresne
sir-sigurd,django/django,373,https://github.com/sir-sigurd
akaariai,django/django,351,https://github.com/akaariai
ngnpope,django/django,345,https://github.com/ngnpope
gdub,django/django,335,https://github.com/gdub
carltongibson,django/django,316,https://github.com/carltongibson
adamchainz,django/django,308,https://github.com/adamchainz
jacobtylerwalls,django/django,297,https://github.com/jacobtylerwalls
apollo13,django/django,296,https://github.com/apollo13
kmtracey,django/django,274,https://github.com/kmtracey
jbronn,django/django,270,https://github.com/jbronn
ubernostrum,django/django,264,https://github.com/ubernostrum
hramezani,django/django,259,https://github.com/hramezani
nessita,django/django,241,https://github.com/nessita
bmispelon,django/django,221,https://github.com/bmispelon
sarahboyce,django/django,216,https://github.com/sarahboyce
carljm,django/django,213,https://github.com/carljm
smithdc1,django/django,202,https://github.com/smithdc1
jphalip,django/django,194,https://github.com/jphalip
loic,django/django,180,https://github.com/loic
brosner,django/django,150,https://github.com/brosner
MarkusH,django/django,146,https://github.com/MarkusH
cjerdonek,django/django,144,https://github.com/cjerdonek
mjtamlyn,django/django,139,https://github.com/mjtamlyn
atombrella,django/django,99,https://github.com/atombrella
SmileyChris,django/django,93,https://github.com/SmileyChris
tiangolo,fastapi/fastapi,2079,https://github.com/tiangolo
